date,precision_in_bits,pphys,dx,dz,dm,dx2,dz2,dm2,error_rate,qubits,code_cycles
2024-03-29 13:27,128,1e-05,3,3,3,11,7,7,6.929852909103848e-15,2502,270.0539481457153
2024-03-29 13:27,128,1e-05,3,3,3,11,7,9,6.933325988137611e-15,2718,270.0539481150737
2024-03-29 13:27,128,1e-05,3,3,3,11,7,11,6.939795589856468e-15,2966,330.0288195574214
2024-03-29 13:27,128,1e-05,3,3,3,11,9,3,6.205404396562319e-14,2518,270.0794111121412
2024-03-29 13:27,128,1e-05,3,3,3,11,9,5,6.951641301552801e-15,2670,270.0539751597738
2024-03-29 13:27,128,1e-05,3,3,3,11,9,7,6.93161795455754e-15,2854,270.053948126611
2024-03-29 13:27,128,1e-05,3,3,3,11,9,9,6.935599137279445e-15,3070,270.0539480948457
2024-03-29 13:27,128,1e-05,3,3,3,11,9,11,6.942573884751244e-15,3318,330.0288195272097
2024-03-29 13:29,128,1e-05,3,3,3,11,11,3,7.253543789569815e-14,2870,270.08203542980306
2024-03-29 13:29,128,1e-05,3,3,3,11,11,5,6.95430053709083e-15,3022,270.0539767341819
2024-03-29 13:29,128,1e-05,3,3,3,11,11,7,6.933400758803692e-15,3206,270.0539481277199
2024-03-29 13:29,128,1e-05,3,3,3,11,11,9,6.9378900451673e-15,3422,270.05394809483084
2024-03-29 13:29,128,1e-05,3,3,3,11,11,11,6.945373882342503e-15,3670,330.0288195271862
2024-03-29 13:29,128,1e-05,3,3,5,3,3,3,2.687085374217657e-05,542,450.195271200128
2024-03-29 13:29,128,1e-05,3,3,5,3,3,5,3.223715321759245e-05,630,450.1750441160624
2024-03-29 13:29,128,1e-05,3,3,5,3,3,7,3.853673391195268e-05,750,450.17501289415725
2024-03-29 13:29,128,1e-05,3,3,5,3,3,9,4.576950203199153e-05,902,450.1750128514771
2024-03-29 13:29,128,1e-05,3,3,5,3,3,11,5.393542276313114e-05,1086,450.1750128514228
2024-03-29 13:29,128,1e-05,3,3,5,3,5,3,2.967072073822669e-05,638,450.1757472292516
2024-03-29 13:29,128,1e-05,3,3,5,3,5,5,3.6903492011860624e-05,726,450.15432878230735
2024-03-29 13:29,128,1e-05,3,3,5,3,5,7,4.506953670797306e-05,846,450.1542968465294
2024-03-29 13:29,128,1e-05,3,3,5,3,5,9,5.416870916260561e-05,998,450.15429680334034
2024-03-29 13:29,128,1e-05,3,3,5,3,5,11,6.420096554243476e-05,1182,450.15429680328566
2024-03-29 13:29,128,1e-05,3,3,5,3,7,3,3.247083543701862e-05,734,450.1919728987916
2024-03-29 13:29,128,1e-05,3,3,5,3,7,5,4.15700502546446e-05,822,450.1693615141082
2024-03-29 13:29,128,1e-05,3,3,5,3,7,7,5.160252310804476e-05,942,450.1693288621001
2024-03-29 13:29,128,1e-05,3,3,5,3,7,9,6.256805211036016e-05,1094,450.16932881839887
2024-03-29 13:29,128,1e-05,3,3,5,3,7,11,7.44665844075275e-05,1278,450.16932881834373
